ID_MUNICIP,Municipio
320530,Vitória
320400,Pancas
320500,Serra
320520,Vila Velha
320150,Colatina
320130,Cariacica
320280,Itapemirim
320100,Boa Esperança
320080,Baixo Guandu
320190,Domingos Martins
320120,Cachoeiro de Itapemirim
320040,Anchieta
320220,Fundão
320460,Santa Teresa
320320,Linhares
320290,Itarana
320225,Governador Lindenberg
320115,Brejetuba
320090,Barra de São Francisco
320370,Muniz Freire
320420,Piúma
320490,São Mateus
320503,Vargem Alta
320510,Viana
320425,Ponto Belo
320160,Conceição da Barra
320316,Laranja da Terra
320230,Guaçuí
320305,Jaguaré
320340,Mimoso do Sul
320332,Marataízes
320060,Aracruz
320310,Jerônimo Monteiro
320506,Venda Nova do Imigrante
320465,São Domingos do Norte
320245,Ibatiba
320010,Afonso Cláudio
320455,Santa Maria de Jetibá
320260,Iconha
320350,Montanha
320330,Mantenópolis
320110,Bom Jesus do Norte
320140,Castelo
320470,São Gabriel da Palha
320035,Alto Rio Novo
320030,Alfredo Chaves
320255,Ibitirama
320250,Ibiraçu
320013,Águia Branca
320050,Apiacá
320270,Itaguaçu
320240,Guarapari
320020,Alegre
320335,Marilândia
320390,Nova Venécia
320180,Divino de São Lourenço
320435,Rio Bananal
320070,Atílio Vivacqua
320515,Vila Pavão
320405,Pedro Canário
320480,São José do Calçado
320360,Mucurici
320210,Ecoporanga
320265,Irupi
320517,Vila Valério
320501,Sooretama
320170,Conceição do Castelo
320313,João Neiva
320450,Santa Leopoldina
320430,Presidente Kennedy
320380,Muqui
320495,São Roque do Canaã
320334,Marechal Floriano
320410,Pinheiros
320300,Iúna
320440,Rio Novo do Sul
320200,Dores do Rio Preto
320016,Água Doce do Norte
